 | 1    | Charizard          | 16.57606% | 49089  | 16.576% | 17639  | 37.088% |
 | 2    | Kyurem-Black       | 10.38785% | 30763  | 10.388% | 10714  | 22.527% |
 | 3    | Greninja           |  8.98043% | 26595  |  8.980% | 9709   | 20.414% |
 | 4    | Lopunny            |  6.54817% | 19392  |  6.548% | 7432   | 15.626% |
 | 5    | Dragonite          |  6.64170% | 19669  |  6.642% | 6857   | 14.417% |
 | 6    | Mawile             |  6.34691% | 18796  |  6.347% | 6432   | 13.524% |
 | 7    | Salamence          |  5.91064% | 17504  |  5.911% | 6318   | 13.284% |
 | 8    | Sableye            |  5.46930% | 16197  |  5.469% | 5801   | 12.197% |
 | 9    | Azumarill          |  5.53886% | 16403  |  5.539% | 5660   | 11.901% |
 | 10   | Gardevoir          |  5.04822% | 14950  |  5.048% | 4817   | 10.128% |
 | 11   | Gyarados           |  4.35261% | 12890  |  4.353% | 4516   |  9.495% |
 | 12   | Aggron             |  3.67085% | 10871  |  3.671% | 4148   |  8.722% |
 | 13   | Gengar             |  3.90047% | 11551  |  3.900% | 4021   |  8.455% |
 | 14   | Meloetta           |  3.72386% | 11028  |  3.724% | 4003   |  8.417% |
 | 15   | Heracross          |  3.91668% | 11599  |  3.917% | 3988   |  8.385% |
 | 16   | Metagross          |  4.25030% | 12587  |  4.250% | 3962   |  8.330% |
 | 17   | Porygon-Z          |  3.46014% | 10247  |  3.460% | 3934   |  8.272% |
 | 18   | Alakazam           |  3.31292% | 9811   |  3.313% | 3625   |  7.622% |
 | 19   | Garchomp           |  3.51484% | 10409  |  3.515% | 3525   |  7.412% |
 | 20   | Smeargle           |  2.90028% | 8589   |  2.900% | 3395   |  7.138% |
 | 21   | Aron               |  2.52884% | 7489   |  2.529% | 3343   |  7.029% |
 | 22   | Swampert           |  2.94654% | 8726   |  2.947% | 3141   |  6.604% |
 | 23   | Aegislash          |  3.11538% | 9226   |  3.115% | 3098   |  6.514% |
 | 24   | Victini            |  2.53424% | 7505   |  2.534% | 3068   |  6.451% |
 | 25   | Talonflame         |  3.64181% | 10785  |  3.642% | 3002   |  6.312% |
 | 26   | Venusaur           |  3.45170% | 10222  |  3.452% | 2890   |  6.076% |
 | 27   | Gallade            |  2.45894% | 7282   |  2.459% | 2749   |  5.780% |
 | 28   | Lucario            |  2.76487% | 8188   |  2.765% | 2682   |  5.639% |
 | 29   | Altaria            |  2.32488% | 6885   |  2.325% | 2666   |  5.606% |
 | 30   | Blastoise          |  2.31441% | 6854   |  2.314% | 2493   |  5.242% |
 | 31   | Deoxys-Defense     |  2.55146% | 7556   |  2.551% | 2480   |  5.214% |
 | 32   | Togekiss           |  2.26680% | 6713   |  2.267% | 2399   |  5.044% |
 | 33   | Slowbro            |  2.18948% | 6484   |  2.189% | 2264   |  4.760% |
 | 34   | Slaking            |  1.78798% | 5295   |  1.788% | 2237   |  4.703% |
 | 35   | Sylveon            |  2.17529% | 6442   |  2.175% | 2236   |  4.701% |
 | 36   | Magnemite          |  1.93993% | 5745   |  1.940% | 2199   |  4.624% |
 | 37   | Breloom            |  2.63318% | 7798   |  2.633% | 2152   |  4.525% |
 | 38   | Golem              |  1.63603% | 4845   |  1.636% | 2041   |  4.291% |
 | 39   | Shuckle            |  1.83289% | 5428   |  1.833% | 1998   |  4.201% |
 | 40   | Whimsicott         |  1.96020% | 5805   |  1.960% | 1902   |  3.999% |
 | 41   | Jirachi            |  1.65528% | 4902   |  1.655% | 1834   |  3.856% |
 | 42   | Latios             |  1.87341% | 5548   |  1.873% | 1773   |  3.728% |
 | 43   | Genesect           |  1.68499% | 4990   |  1.685% | 1724   |  3.625% |
 | 44   | Magnezone          |  1.51312% | 4481   |  1.513% | 1678   |  3.528% |
 | 45   | Conkeldurr         |  1.74645% | 5172   |  1.746% | 1664   |  3.499% |
 | 46   | Serperior          |  1.48678% | 4403   |  1.487% | 1648   |  3.465% |
 | 47   | Machamp            |  1.41148% | 4180   |  1.411% | 1607   |  3.379% |
 | 48   | Scizor             |  1.73530% | 5139   |  1.735% | 1505   |  3.164% |
 | 49   | Ditto              |  1.29903% | 3847   |  1.299% | 1472   |  3.095% |
 | 50   | Medicham           |  1.41485% | 4190   |  1.415% | 1402   |  2.948% |
 | 51   | Diancie            |  1.21292% | 3592   |  1.213% | 1380   |  2.902% |
 | 52   | Ferrothorn         |  1.60192% | 4744   |  1.602% | 1379   |  2.899% |
 | 53   | Wobbuffet          |  1.14032% | 3377   |  1.140% | 1373   |  2.887% |
 | 54   | Gliscor            |  1.53810% | 4555   |  1.538% | 1347   |  2.832% |
 | 55   | Tyranitar          |  1.45672% | 4314   |  1.457% | 1331   |  2.799% |
 | 56   | Rhyperior          |  1.07414% | 3181   |  1.074% | 1299   |  2.731% |
 | 57   | Donphan            |  1.09440% | 3241   |  1.094% | 1285   |  2.702% |
 | 58   | Chansey            |  1.52189% | 4507   |  1.522% | 1260   |  2.649% |
 | 59   | Mew                |  1.13323% | 3356   |  1.133% | 1258   |  2.645% |
 | 60   | Beedrill           |  1.25851% | 3727   |  1.259% | 1213   |  2.550% |
 | 61   | Heatran            |  1.45200% | 4300   |  1.452% | 1206   |  2.536% |
 | 62   | Ambipom            |  1.00728% | 2983   |  1.007% | 1200   |  2.523% |
 | 63   | Sceptile           |  1.38615% | 4105   |  1.386% | 1190   |  2.502% |
 | 64   | Cloyster           |  1.09744% | 3250   |  1.097% | 1182   |  2.485% |
 | 65   | Avalugg            |  0.92421% | 2737   |  0.924% | 1168   |  2.456% |
 | 66   | Pinsir             |  1.17240% | 3472   |  1.172% | 1167   |  2.454% |
 | 67   | Aerodactyl         |  1.17612% | 3483   |  1.176% | 1109   |  2.332% |
 | 68   | Haxorus            |  1.02585% | 3038   |  1.026% | 1058   |  2.225% |
 | 69   | Cinccino           |  0.83068% | 2460   |  0.831% | 1053   |  2.214% |
 | 70   | Manectric          |  1.00019% | 2962   |  1.000% | 1040   |  2.187% |
 | 71   | Snorlax            |  0.89180% | 2641   |  0.892% | 1018   |  2.140% |
 | 72   | Landorus-Therian   |  0.93468% | 2768   |  0.935% | 978    |  2.056% |
 | 73   | Darmanitan         |  1.02112% | 3024   |  1.021% | 978    |  2.056% |
 | 74   | Ampharos           |  0.85195% | 2523   |  0.852% | 939    |  1.974% |
 | 75   | Banette            |  0.73478% | 2176   |  0.735% | 931    |  1.958% |
 | 76   | Landorus           |  1.04611% | 3098   |  1.046% | 895    |  1.882% |
 | 77   | Arcanine           |  0.79387% | 2351   |  0.794% | 871    |  1.831% |
 | 78   | Shedinja           |  0.98837% | 2927   |  0.988% | 862    |  1.812% |
 | 79   | Weavile            |  0.85431% | 2530   |  0.854% | 838    |  1.762% |
 | 80   | Hitmonlee          |  0.72802% | 2156   |  0.728% | 827    |  1.739% |
 | 81   | Clefable           |  0.75335% | 2231   |  0.753% | 821    |  1.726% |
 | 82   | Nosepass           |  0.64023% | 1896   |  0.640% | 815    |  1.714% |
 | 83   | Crustle            |  0.63348% | 1876   |  0.633% | 812    |  1.707% |
 | 84   | Probopass          |  0.80501% | 2384   |  0.805% | 807    |  1.697% |
 | 85   | Absol              |  0.80704% | 2390   |  0.807% | 802    |  1.686% |
 | 86   | Blissey            |  0.90463% | 2679   |  0.905% | 795    |  1.672% |
 | 87   | Sawk               |  0.73410% | 2174   |  0.734% | 787    |  1.655% |
 | 88   | Dusclops           |  0.73140% | 2166   |  0.731% | 785    |  1.651% |
 | 89   | Staraptor          |  0.77091% | 2283   |  0.771% | 782    |  1.644% |
 | 90   | Pidgeot            |  0.68446% | 2027   |  0.684% | 774    |  1.627% |
 | 91   | Umbreon            |  0.70405% | 2085   |  0.704% | 763    |  1.604% |
 | 92   | Steelix            |  0.72667% | 2152   |  0.727% | 751    |  1.579% |
 | 93   | Infernape          |  0.80434% | 2382   |  0.804% | 724    |  1.522% |
 | 94   | Sharpedo           |  0.62199% | 1842   |  0.622% | 714    |  1.501% |
 | 95   | Murkrow            |  0.65542% | 1941   |  0.655% | 713    |  1.499% |
 | 96   | Bisharp            |  0.97959% | 2901   |  0.980% | 705    |  1.482% |
 | 97   | Slurpuff           |  0.57911% | 1715   |  0.579% | 680    |  1.430% |
 | 98   | Lapras             |  0.56729% | 1680   |  0.567% | 660    |  1.388% |
 | 99   | Pikachu            |  0.53217% | 1576   |  0.532% | 645    |  1.356% |
 | 100  | Entei              |  0.60714% | 1798   |  0.607% | 629    |  1.323% |
