 | 1    | Bronzong           |  6.00618% | 8742   |  6.006% | 7141   |  6.787% |
 | 2    | Scizor             |  5.46548% | 7956   |  5.466% | 5794   |  5.507% |
 | 3    | Rhyperior          |  5.20783% | 7580   |  5.208% | 5614   |  5.336% |
 | 4    | Golbat             |  5.15630% | 7505   |  5.156% | 5241   |  4.981% |
 | 5    | Cobalion           |  5.11714% | 7448   |  5.117% | 5609   |  5.331% |
 | 6    | Hitmonlee          |  5.09790% | 7420   |  5.098% | 5048   |  4.798% |
 | 7    | Groudon            |  5.00653% | 7287   |  5.006% | 6056   |  5.756% |
 | 8    | Klefki             |  4.79302% | 6977   |  4.793% | 5706   |  5.423% |
 | 9    | Dialga             |  4.70697% | 6851   |  4.707% | 5108   |  4.855% |
 | 10   | Hitmontop          |  4.45139% | 6479   |  4.451% | 4547   |  4.321% |
 | 11   | Aromatisse         |  4.23291% | 6161   |  4.233% | 4050   |  3.849% |
 | 12   | Skuntank           |  4.17382% | 6075   |  4.174% | 4109   |  3.905% |
 | 13   | Mawile             |  3.95878% | 5762   |  3.959% | 4238   |  4.028% |
 | 14   | Xerneas            |  3.81502% | 5553   |  3.815% | 3611   |  3.432% |
 | 15   | Ho-Oh              |  3.70526% | 5393   |  3.705% | 3799   |  3.611% |
 | 16   | Blaziken           |  3.68121% | 5358   |  3.681% | 3764   |  3.577% |
 | 17   | Quagsire           |  3.64960% | 5312   |  3.650% | 4002   |  3.804% |
 | 18   | Yveltal            |  3.63122% | 5286   |  3.632% | 3786   |  3.598% |
 | 19   | Darkrai            |  3.59791% | 5237   |  3.598% | 3894   |  3.701% |
 | 20   | Shaymin-Sky        |  3.59258% | 5229   |  3.593% | 3174   |  3.017% |
 | 21   | Lucario            |  3.58365% | 5216   |  3.584% | 3515   |  3.341% |
 | 22   | Genesect           |  3.49639% | 5089   |  3.496% | 3842   |  3.651% |
 | 23   | Kangaskhan         |  3.47716% | 5061   |  3.477% | 3984   |  3.786% |
 | 24   | Gengar             |  3.41326% | 4968   |  3.413% | 3409   |  3.240% |
 | 25   | Giratina-Origin    |  3.36670% | 4901   |  3.367% | 3446   |  3.275% |
 | 26   | Druddigon          |  3.35898% | 4889   |  3.359% | 3708   |  3.524% |
 | 27   | Gligar             |  3.30402% | 4809   |  3.304% | 3702   |  3.518% |
 | 28   | Deoxys-Defense     |  3.30111% | 4805   |  3.301% | 4018   |  3.819% |
 | 29   | Camerupt           |  3.27997% | 4774   |  3.280% | 3771   |  3.584% |
 | 30   | Feraligatr         |  3.27104% | 4761   |  3.271% | 3238   |  3.077% |
 | 31   | Arceus-Poison      |  3.26761% | 4756   |  3.268% | 3056   |  2.904% |
 | 32   | Kyogre             |  3.23188% | 4704   |  3.232% | 3454   |  3.283% |
 | 33   | Mantine            |  3.23188% | 4704   |  3.232% | 3314   |  3.150% |
 | 34   | Empoleon           |  3.20234% | 4661   |  3.202% | 3674   |  3.492% |
 | 35   | Dugtrio            |  3.18241% | 4632   |  3.182% | 3511   |  3.337% |
 | 36   | Rayquaza           |  3.15683% | 4595   |  3.157% | 3001   |  2.852% |
 | 37   | Registeel          |  3.15562% | 4593   |  3.156% | 3410   |  3.241% |
 | 38   | Palkia             |  3.15477% | 4592   |  3.155% | 3037   |  2.886% |
