 | 1    | Volcarona          |  9.70401% | 33592  |  9.704% | 22954  |  9.042% |
 | 2    | Charizard          |  8.80987% | 30497  |  8.810% | 22895  |  9.018% |
 | 3    | Scizor             |  8.18682% | 28340  |  8.187% | 19489  |  7.677% |
 | 4    | Skarmory           |  7.69169% | 26626  |  7.692% | 21957  |  8.649% |
 | 5    | Gengar             |  7.63131% | 26417  |  7.631% | 18390  |  7.244% |
 | 6    | Infernape          |  7.53540% | 26085  |  7.535% | 20287  |  7.991% |
 | 7    | Sableye            |  7.39212% | 25589  |  7.392% | 21109  |  8.315% |
 | 8    | Azumarill          |  7.28408% | 25215  |  7.284% | 18291  |  7.205% |
 | 9    | Garchomp           |  7.24739% | 25088  |  7.247% | 19235  |  7.577% |
 | 10   | Keldeo             |  7.20377% | 24937  |  7.204% | 17138  |  6.751% |
 | 11   | Heracross          |  7.04033% | 24372  |  7.041% | 16415  |  6.466% |
 | 12   | Dragonite          |  7.02669% | 24324  |  7.027% | 17345  |  6.832% |
 | 13   | Heatran            |  6.90536% | 23904  |  6.905% | 18594  |  7.324% |
 | 14   | Gardevoir          |  6.85878% | 23743  |  6.859% | 15806  |  6.226% |
 | 15   | Breloom            |  6.66219% | 23063  |  6.662% | 16992  |  6.693% |
 | 16   | Galvantula         |  6.41224% | 22197  |  6.412% | 18068  |  7.117% |
 | 17   | Togekiss           |  6.29922% | 21806  |  6.299% | 15671  |  6.173% |
 | 18   | Hydreigon          |  6.22476% | 21548  |  6.225% | 14851  |  5.850% |
 | 19   | Excadrill          |  5.97719% | 20691  |  5.977% | 15158  |  5.971% |
 | 20   | Venusaur           |  5.87204% | 20327  |  5.872% | 14829  |  5.841% |
 | 21   | Gyarados           |  5.84893% | 20247  |  5.849% | 14924  |  5.879% |
 | 22   | Bisharp            |  5.76140% | 19944  |  5.761% | 13479  |  5.309% |
 | 23   | Victini            |  5.66398% | 19607  |  5.664% | 14409  |  5.676% |
 | 24   | Ferrothorn         |  5.46501% | 18918  |  5.465% | 15633  |  6.158% |
 | 25   | Chandelure         |  5.29428% | 18327  |  5.294% | 12816  |  5.048% |
 | 26   | Staraptor          |  5.11380% | 17703  |  5.114% | 12801  |  5.042% |
 | 27   | Gallade            |  5.04787% | 17474  |  5.048% | 11778  |  4.639% |
 | 28   | Weavile            |  4.91556% | 17016  |  4.916% | 12582  |  4.956% |
 | 29   | Kyurem-Black       |  4.89707% | 16952  |  4.897% | 12279  |  4.837% |
 | 30   | Lopunny            |  4.74519% | 16427  |  4.745% | 13136  |  5.174% |
 | 31   | Altaria            |  4.73126% | 16378  |  4.731% | 11197  |  4.410% |
 | 32   | Terrakion          |  4.69977% | 16269  |  4.700% | 10932  |  4.306% |
 | 33   | Tentacruel         |  4.67781% | 16193  |  4.678% | 12662  |  4.988% |
 | 34   | Tyranitar          |  4.62322% | 16004  |  4.623% | 11833  |  4.661% |
 | 35   | Meloetta           |  4.61513% | 15976  |  4.615% | 11489  |  4.526% |
 | 36   | Latios             |  4.57468% | 15836  |  4.575% | 10735  |  4.229% |
 | 37   | Mamoswine          |  4.56746% | 15811  |  4.567% | 11870  |  4.676% |
 | 38   | Scolipede          |  4.52471% | 15663  |  4.525% | 11747  |  4.627% |
 | 39   | Medicham           |  4.49691% | 15567  |  4.497% | 11732  |  4.621% |
 | 40   | Rotom-Wash         |  4.49351% | 15555  |  4.493% | 12415  |  4.890% |
 | 41   | Drapion            |  4.26183% | 14753  |  4.262% | 11211  |  4.416% |
 | 42   | Hawlucha           |  4.25865% | 14742  |  4.259% | 10360  |  4.081% |
 | 43   | Nidoking           |  4.25085% | 14715  |  4.251% | 10599  |  4.175% |
 | 44   | Slowbro            |  4.19914% | 14536  |  4.199% | 10692  |  4.212% |
 | 45   | Cloyster           |  4.10757% | 14219  |  4.108% | 10639  |  4.191% |
 | 46   | Klefki             |  4.06366% | 14067  |  4.064% | 11990  |  4.723% |
 | 47   | Swampert           |  4.02899% | 13947  |  4.029% | 10404  |  4.098% |
 | 48   | Genesect           |  3.96573% | 13728  |  3.966% | 9707   |  3.824% |
 | 49   | Pinsir             |  3.92124% | 13574  |  3.921% | 9315   |  3.669% |
 | 50   | Magnezone          |  3.85364% | 13340  |  3.854% | 9736   |  3.835% |
 | 51   | Mandibuzz          |  3.81493% | 13206  |  3.815% | 9460   |  3.726% |
 | 52   | Gliscor            |  3.80164% | 13160  |  3.802% | 9590   |  3.777% |
 | 53   | Landorus           |  3.78193% | 13092  |  3.782% | 9476   |  3.733% |
 | 54   | Thundurus          |  3.77016% | 13051  |  3.770% | 10019  |  3.946% |
 | 55   | Forretress         |  3.75716% | 13006  |  3.757% | 10738  |  4.230% |
 | 56   | Hippowdon          |  3.67714% | 12729  |  3.677% | 11742  |  4.625% |
 | 57   | Diancie            |  3.65172% | 12641  |  3.652% | 9382   |  3.696% |
 | 58   | Metagross          |  3.56534% | 12342  |  3.565% | 8899   |  3.505% |
