 | 1    | Garchomp           | 15.91474% | 507833 | 15.915% | 404748 | 16.945% |
 | 2    | Heatran            | 15.19606% | 484900 | 15.196% | 395383 | 16.553% |
 | 3    | Scizor             | 14.63665% | 467048 | 14.637% | 353067 | 14.781% |
 | 4    | Landorus-Therian   | 14.34232% | 457657 | 14.342% | 378817 | 15.859% |
 | 5    | Talonflame         | 13.61612% | 434484 | 13.616% | 317637 | 13.298% |
 | 6    | Ferrothorn         | 13.51348% | 431209 | 13.513% | 360632 | 15.098% |
 | 7    | Charizard          | 12.97650% | 414072 | 12.976% | 310344 | 12.993% |
 | 8    | Rotom-Wash         | 12.79404% | 408257 | 12.794% | 334442 | 14.001% |
 | 9    | Gengar             | 11.49844% | 366910 | 11.498% | 257356 | 10.774% |
 | 10   | Azumarill          | 11.32908% | 361504 | 11.329% | 274868 | 11.507% |
 | 11   | Latios             |  9.75569% | 311300 |  9.756% | 218282 |  9.138% |
 | 12   | Excadrill          |  9.63958% | 307594 |  9.640% | 223589 |  9.361% |
 | 13   | Clefable           |  9.45455% | 301694 |  9.455% | 224949 |  9.418% |
 | 14   | Bisharp            |  9.33365% | 297831 |  9.334% | 210959 |  8.832% |
 | 15   | Tyranitar          |  9.09221% | 290125 |  9.092% | 226264 |  9.473% |
 | 16   | Keldeo             |  8.78773% | 280412 |  8.788% | 209196 |  8.758% |
 | 17   | Gliscor            |  8.54027% | 272517 |  8.540% | 204323 |  8.554% |
 | 18   | Dragonite          |  8.46000% | 269956 |  8.460% | 186499 |  7.808% |
 | 19   | Starmie            |  8.25898% | 263540 |  8.259% | 191653 |  8.024% |
 | 20   | Metagross          |  8.14139% | 259789 |  8.141% | 192264 |  8.049% |
 | 21   | Serperior          |  7.95899% | 253966 |  7.959% | 181624 |  7.604% |
 | 22   | Alakazam           |  7.88906% | 251737 |  7.889% | 172465 |  7.220% |
 | 23   | Skarmory           |  7.85835% | 250757 |  7.858% | 206750 |  8.656% |
 | 24   | Gyarados           |  7.22521% | 230551 |  7.225% | 174071 |  7.287% |
 | 25   | Latias             |  7.20451% | 229894 |  7.205% | 159610 |  6.682% |
 | 26   | Venusaur           |  7.20086% | 229778 |  7.201% | 171986 |  7.200% |
 | 27   | Sylveon            |  7.04164% | 224697 |  7.042% | 158905 |  6.653% |
 | 28   | Conkeldurr         |  6.97895% | 222696 |  6.979% | 164378 |  6.882% |
 | 29   | Breloom            |  6.86407% | 219026 |  6.864% | 160157 |  6.705% |
 | 30   | Weavile            |  6.77267% | 216112 |  6.773% | 158666 |  6.643% |
 | 31   | Sableye            |  6.59655% | 210492 |  6.597% | 173646 |  7.270% |
 | 32   | Lopunny            |  6.31331% | 201455 |  6.313% | 159201 |  6.665% |
 | 33   | Gardevoir          |  6.26462% | 199899 |  6.265% | 142551 |  5.968% |
 | 34   | Slowbro            |  5.96203% | 190247 |  5.962% | 144202 |  6.037% |
 | 35   | Chansey            |  5.65099% | 180322 |  5.651% | 129538 |  5.423% |
 | 36   | Thundurus          |  5.52344% | 176250 |  5.523% | 134034 |  5.611% |
 | 37   | Magnezone          |  5.32863% | 170036 |  5.329% | 129861 |  5.437% |
 | 38   | Raikou             |  5.27369% | 168279 |  5.274% | 129676 |  5.429% |
 | 39   | Altaria            |  5.24998% | 167524 |  5.250% | 119919 |  5.020% |
 | 40   | Tornadus-Therian   |  5.20598% | 166122 |  5.206% | 131076 |  5.488% |
 | 41   | Hippowdon          |  4.42885% | 141322 |  4.429% | 118616 |  4.966% |
 | 42   | Manaphy            |  4.20413% | 134152 |  4.204% | 102438 |  4.289% |
 | 43   | Manectric          |  4.18977% | 133692 |  4.190% | 105119 |  4.401% |
 | 44   | Volcarona          |  4.16679% | 132962 |  4.167% | 93986  |  3.935% |
 | 45   | Kyurem-Black       |  4.14082% | 132132 |  4.141% | 95580  |  4.001% |
 | 46   | Mew                |  4.12486% | 131622 |  4.125% | 104742 |  4.385% |
 | 47   | Togekiss           |  4.09184% | 130567 |  4.092% | 93336  |  3.908% |
 | 48   | Jirachi            |  4.08740% | 130429 |  4.087% | 99249  |  4.155% |
 | 49   | Diancie            |  3.72017% | 118708 |  3.720% | 92261  |  3.863% |
 | 50   | Zapdos             |  3.68945% | 117730 |  3.689% | 90657  |  3.795% |
 | 51   | Espeon             |  3.15110% | 100549 |  3.151% | 73711  |  3.086% |
 | 52   | Swampert           |  3.14380% | 100317 |  3.144% | 78415  |  3.283% |
 | 53   | Celebi             |  3.05006% | 97326  |  3.050% | 74426  |  3.116% |
 | 54   | Scolipede          |  3.00740% | 95964  |  3.007% | 79206  |  3.316% |
 | 55   | Infernape          |  2.97141% | 94817  |  2.971% | 72057  |  3.017% |
 | 56   | Gallade            |  2.82956% | 90290  |  2.830% | 62492  |  2.616% |
 | 57   | Klefki             |  2.75042% | 87764  |  2.750% | 73031  |  3.057% |
 | 58   | Politoed           |  2.67196% | 85261  |  2.672% | 76860  |  3.218% |
 | 59   | Goodra             |  2.65063% | 84580  |  2.651% | 60907  |  2.550% |
 | 60   | Heracross          |  2.56673% | 81904  |  2.567% | 58094  |  2.432% |
 | 61   | Umbreon            |  2.52856% | 80684  |  2.529% | 56874  |  2.381% |
 | 62   | Victini            |  2.39150% | 76311  |  2.391% | 58126  |  2.433% |
 | 63   | Blastoise          |  2.32364% | 74145  |  2.324% | 55613  |  2.328% |
 | 64   | Arcanine           |  2.32361% | 74145  |  2.324% | 56107  |  2.349% |
 | 65   | Milotic            |  2.29226% | 73144  |  2.292% | 54070  |  2.264% |
 | 66   | Cloyster           |  2.28168% | 72808  |  2.282% | 52578  |  2.201% |
 | 67   | Hydreigon          |  2.25469% | 71945  |  2.255% | 52682  |  2.206% |
 | 68   | Tentacruel         |  2.24362% | 71593  |  2.244% | 54029  |  2.262% |
 | 69   | Forretress         |  2.18582% | 69748  |  2.186% | 58960  |  2.468% |
 | 70   | Pinsir             |  2.17057% | 69262  |  2.171% | 48704  |  2.039% |
 | 71   | Mamoswine          |  2.16123% | 68963  |  2.161% | 54442  |  2.279% |
 | 72   | Sceptile           |  2.07143% | 66098  |  2.071% | 47610  |  1.993% |
 | 73   | Staraptor          |  2.02571% | 64639  |  2.026% | 46563  |  1.949% |
 | 74   | Medicham           |  1.98806% | 63438  |  1.988% | 49289  |  2.063% |
 | 75   | Gothitelle         |  1.94530% | 62074  |  1.945% | 45427  |  1.902% |
 | 76   | Chandelure         |  1.93818% | 61846  |  1.938% | 45145  |  1.890% |
 | 77   | Mandibuzz          |  1.88706% | 60215  |  1.887% | 45199  |  1.892% |
 | 78   | Lucario            |  1.81942% | 58056  |  1.819% | 40508  |  1.696% |
